depth,seed,round,test_acc,test_f1,test_auc,cumulative_bytes,n_params
4,0,19,0.6835806606031594,0.5308729595457772,0.7861144874207031,235904,97
4,0,20,0.6811871708951651,0.5289957567185289,0.7889991508350123,248320,97
4,0,21,0.688367640019148,0.5346676197283774,0.7861130998962133,260736,97
4,0,22,0.6864528482527525,0.5331432644333571,0.7876962653390832,273152,97
4,0,23,0.6711345141215893,0.524567474048443,0.786876238365607,285568,97
4,0,24,0.6826232647199617,0.5307855626326964,0.7880153959717389,297984,97
4,0,25,0.7022498803255146,0.5446559297218155,0.790633654684005,310400,97
4,1,1,0.2312111057922451,0.18642350557244175,0.24230201413054941,12416,97
4,1,2,0.36668262326471995,0.1918142944410507,0.29697880417589373,24832,97
4,1,3,0.4030636668262326,0.2720373613543491,0.4168664701931989,37248,97
4,1,4,0.5007180469123983,0.35257603972687773,0.5521348451800174,49664,97
4,1,5,0.5380564863571087,0.39422473320778406,0.624646875017344,62080,97
4,1,6,0.5730014360938248,0.452760736196319,0.6868523729443824,74496,97
4,1,7,0.6127333652465294,0.4927899686520376,0.7280965384039028,86912,97
4,1,8,0.6060315940641455,0.48271527341294784,0.7578908517735338,99328,97
4,1,9,0.6706558161799904,0.5064562410329986,0.7765946818961356,111744,97
4,1,10,0.6859741503111536,0.5155096011816839,0.7779058925390033,124160,97
4,1,11,0.6395404499760651,0.4956463496316142,0.7821655927227116,136576,97
4,1,12,0.7175682144566778,0.5404984423676013,0.7907363314962509,148992,97
4,1,13,0.6826232647199617,0.5233644859813084,0.7895694234003229,161408,97
4,1,14,0.6921972235519387,0.524759793052476,0.787683777618675,173824,97
4,1,15,0.6965055050263284,0.5275707898658718,0.7887799219656226,186240,97
4,1,16,0.6778362853039732,0.5216773276474769,0.7874145978676524,198656,97
4,1,17,0.7032072762087123,0.5317220543806647,0.7864128051860114,211072,97
4,1,18,0.6505505026328386,0.5040760869565217,0.7803895613757583,223488,97
4,1,19,0.7094303494494973,0.5355776587605203,0.7880473090350045,235904,97
4,1,20,0.6711345141215893,0.5144876325088339,0.7892253173268508,248320,97
4,1,21,0.6950694112015319,0.5256887565152644,0.7831604477819034,260736,97
4,1,22,0.6582096696984203,0.5075862068965518,0.7891268030880744,273152,97
4,1,23,0.7036859741503112,0.5278413424866514,0.7841941535268098,285568,97
4,1,24,0.6845380564863571,0.5262401150251618,0.796559771779972,297984,97
4,1,25,0.7075155576831019,0.5388679245283019,0.7964099191350728,310400,97
4,2,1,0.23264719961704164,0.16813700051894137,0.22949100051615912,12416,97
4,2,2,0.43322163714696027,0.16147308781869688,0.32193898222303624,24832,97
4,2,3,0.5567257060794638,0.42197253433208487,0.6433146295032108,37248,97
4,2,4,0.6582096696984203,0.48633093525179855,0.7581669691470053,49664,97
4,2,5,0.6629966491144088,0.5083798882681564,0.7754277738002076,62080,97
4,2,6,0.6888463379607468,0.5343839541547278,0.7766696082185849,74496,97
4,2,7,0.687888942077549,0.5362731152204836,0.7855469899043718,86912,97
4,2,8,0.688367640019148,0.5353319057815846,0.7925040376962653,99328,97
4,2,9,0.6874102441359502,0.5345687811831789,0.7925831265921844,111744,97
4,2,10,0.7185256103398755,0.5592203898050975,0.8017310755534834,124160,97
4,2,11,0.7094303494494973,0.5507031828275352,0.7952527237105734,136576,97
4,2,12,0.7142173288654858,0.5554728220402085,0.7949280429799587,148992,97
4,2,13,0.7032072762087123,0.5467836257309941,0.7937819477513778,161408,97
4,2,14,0.7036859741503112,0.5471836137527433,0.7919726158166691,173824,97
4,2,15,0.6902824317855433,0.5362007168458781,0.7896235368554255,186240,97
4,2,16,0.6993776926759215,0.5436046511627907,0.7916978859676873,198656,97
4,2,17,0.7280995691718526,0.566412213740458,0.8037721240779899,211072,97
4,2,18,0.7237912876974629,0.5625473843821076,0.8016727995249116,223488,97
4,2,19,0.7051220679751077,0.5490483162518301,0.7976448159310012,235904,97
4,2,20,0.7223551938726663,0.5632530120481928,0.7917811374370758,248320,97
4,2,21,0.6974629009095261,0.5440115440115441,0.8036167213351315,260736,97
4,2,22,0.7333652465294399,0.5705474171164225,0.7983885290575379,273152,97
4,2,23,0.7161321206318813,0.5577926920208799,0.80672200114332,285568,97
4,2,24,0.7290569650550502,0.5685975609756098,0.8038789634637051,297984,97
4,2,25,0.7027285782671134,0.5490196078431373,0.7984398674636607,310400,97
4,3,1,0.24269985639061753,0.17604166666666668,0.24446932738362834,12416,97
4,3,2,0.34226902824317856,0.2094361334867664,0.323322344139374,24832,97
4,3,3,0.5495452369554811,0.41370716510903427,0.6530633765685964,37248,97
4,3,4,0.6711345141215893,0.513111268603827,0.8088934769698685,49664,97
4,3,5,0.7022498803255146,0.5433186490455213,0.818715762833214,62080,97
4,3,6,0.6988989947343226,0.5418790968681719,0.8038081997147251,74496,97
4,3,7,0.6936333173767353,0.5382395382395382,0.7899829056982856,86912,97
4,3,8,0.7060794638583054,0.5478645066273933,0.7907016433840056,99328,97
4,3,9,0.70416467209191,0.5455882352941176,0.7880958723921476,111744,97
4,3,10,0.685016754427956,0.5320056899004267,0.7849545169472242,124160,97
4,3,11,0.6826232647199617,0.5294535131298793,0.7770456273553229,136576,97
4,3,12,0.6821445667783629,0.5297450424929179,0.7784706150063548,148992,97
4,3,13,0.687888942077549,0.5342857142857143,0.7830314080043512,161408,97
4,3,14,0.6792723791287697,0.5275035260930888,0.7770511774532821,173824,97
4,3,15,0.6682623264719961,0.5237113402061856,0.7663922143225826,186240,97
4,3,16,0.6902824317855433,0.5355348169418521,0.7793225550430964,198656,97
4,3,17,0.6773575873623744,0.5306406685236769,0.7804589376002486,211072,97
4,3,18,0.70416467209191,0.5475841874084919,0.7893723949227704,223488,97
4,3,19,0.7099090473910962,0.552437223042836,0.7944562846534241,235904,97
4,3,20,0.713738630923887,0.5557206537890045,0.794954405945265,248320,97
4,3,21,0.7190043082814744,0.5596399099774944,0.7993029076963208,260736,97
4,3,22,0.7089516515078985,0.5529411764705883,0.7944437969330158,273152,97
4,3,23,0.7060794638583054,0.5511695906432749,0.7857981318370268,285568,97
4,3,24,0.6859741503111536,0.536067892503536,0.783809809243133,297984,97
4,3,25,0.6931546194351365,0.5405017921146953,0.7870566165492819,310400,97
4,4,1,0.2470081378650072,0.18370524130773222,0.24967531926938508,12416,97
4,4,2,0.5964576352321685,0.2158139534883721,0.38237538642557045,24832,97
4,4,3,0.6481570129248444,0.41058540497193263,0.7057906947057615,37248,97
